seed,row_index,row_kind,grid_index,parameter,parameter_label,objective,cell,checkpoint_batch_zero_based,parameter_value,loss,psth_sse,cv_squared_error,analytic_gradient,firing_rate_hz,spike_count,sim_cv,cv_valid
123,26,grid,12,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,250.0,7120.0,7120.0,0.028419476002454758,-8.611132621765137,37.41485185060904,1115.0,1.1597974300384521,True
123,26,grid,12,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,250.0,1446.0,1446.0,0.31025463342666626,-0.07193277031183243,12.583470353343847,375.0,0.6433038711547852,True
123,26,grid,12,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,250.0,3784.0,3784.0,0.4973985254764557,-2.9313156604766846,16.91218415489413,504.0,0.9955598711967468,True
123,27,checkpoint_baseline,-1,Strf_alpha,STRF alpha (ms),PSTH SSE,1,6,25.937660217285156,4714.0,4714.0,0.12150664627552032,55.08091735839844,44.52870709036609,1327.0,0.9798001646995544,True
123,27,checkpoint_baseline,-1,Strf_alpha,STRF alpha (ms),PSTH SSE,2,3,29.200740814208984,1324.0,1324.0,0.3585936427116394,39.14794921875,17.885305862219386,533.0,0.6014820337295532,True
123,27,checkpoint_baseline,-1,Strf_alpha,STRF alpha (ms),PSTH SSE,7,3,18.431663513183594,2910.0,2910.0,0.3006350100040436,17.698087692260742,15.50283547531962,462.0,1.1525228023529053,True
123,28,grid,0,output_ad,Output adaptation,PSTH SSE,1,6,0.0,991948.0,991948.0,0.00819886103272438,-56916724.0,599.7114190798966,17872.0,1.237830638885498,True
123,28,grid,0,output_ad,Output adaptation,PSTH SSE,2,3,0.0,19395.0,19395.0,0.2437136471271515,-2618999.5,96.70816415556524,2882.0,0.7066352963447571,True
123,28,grid,0,output_ad,Output adaptation,PSTH SSE,7,3,0.0,19677.0,19677.0,0.044164977967739105,-1804717.625,77.54773329754035,2311.0,1.490670084953308,True
123,29,grid,1,output_ad,Output adaptation,PSTH SSE,1,6,0.0002500000118743628,250744.0,250744.0,0.019875025376677513,-17960988.0,318.51280158383946,9492.0,1.4693570137023926,True
123,29,grid,1,output_ad,Output adaptation,PSTH SSE,2,3,0.0002500000118743628,9062.0,9062.0,0.2838834822177887,-1571246.625,69.56142411328479,2073.0,0.6675017476081848,True
123,29,grid,1,output_ad,Output adaptation,PSTH SSE,7,3,0.0002500000118743628,9734.0,9734.0,0.028902903199195862,-743669.375,53.55524982383141,1596.0,1.5308161973953247,True
123,30,grid,2,output_ad,Output adaptation,PSTH SSE,1,6,0.0005000000237487257,111946.0,111946.0,0.0231818575412035,-9058477.0,225.26089728532597,6713.0,1.480634093284607,True
123,30,grid,2,output_ad,Output adaptation,PSTH SSE,2,3,0.0005000000237487257,5081.0,5081.0,0.3120366334915161,-921187.5,54.49481561021442,1624.0,0.6417065262794495,True
123,30,grid,2,output_ad,Output adaptation,PSTH SSE,7,3,0.0005000000237487257,6551.0,6551.0,0.014514468610286713,-444673.375,42.78379920136908,1275.0,1.5803487300872803,True
