seed,init_id,cell,epsilon,center_gain,gain_minus,gain_plus,actual_log_span,loss_minus,loss_center,loss_plus,fd_gradient_gain,fd_gradient_log_gain,analytic_gradient_gain,analytic_gradient_log_gain,loss_difference_exact_zero,center_firing_rate_hz
123,1,7,0.05,0.0054341284558176,0.0051691029220819,0.005712741985917,0.0999999586699764,15792.0,16400.0,16756.0,1773235.3396377808,9640.003984215922,6968445.0,37867.42526730057,False,86.90983524042817
123,1,7,0.1,0.0054341284558176,0.0049170027486979,0.0060056410729885,0.2000000589192319,15667.0,16400.0,17079.0,1297033.1546247147,7059.997920151727,6968445.0,37867.42526730057,False,86.90983524042817
123,2,1,0.0025,0.0166266057640314,0.0165850911289453,0.0166682247072458,0.005000027781099088,83652.0,83725.0,83814.0,1948671.0822722395,32399.819979478143,206632320.0,3435594.122747183,False,218.7174927015872
123,2,1,0.005,0.0166266057640314,0.0165436808019876,0.0167099460959434,0.009999912489768266,83573.0,83725.0,83876.0,1822388.7426593706,30300.265158322563,206632320.0,3435594.122747183,False,218.7174927015872
123,2,1,0.01,0.0166266057640314,0.0164611674845218,0.016793705523014,0.020000023633855103,83273.0,83725.0,84000.0,2186216.0590601247,36349.95704551911,206632320.0,3435594.122747183,False,218.7174927015872
123,2,1,0.02,0.0166266057640314,0.0162973776459693,0.0169624853879213,0.039999949471690714,83416.0,83725.0,84037.0,933683.3129884371,15525.019611324815,206632320.0,3435594.122747183,False,218.7174927015872
123,2,1,0.05,0.0166266057640314,0.0158157162368297,0.0174790695309638,0.09999999413485915,82324.0,83725.0,84642.0,1393570.4508323893,23180.00135953973,206632320.0,3435594.122747183,False,218.7174927015872
123,2,1,0.1,0.0166266057640314,0.0150443753227591,0.0183752421289682,0.20000003346641348,81135.0,83725.0,85383.0,1275343.700949333,21239.996445867484,206632320.0,3435594.122747183,False,218.7174927015872
123,2,2,0.0025,0.0100537622347474,0.0100286593660712,0.0100789284333586,0.005000020143326201,241806.0,242640.0,243169.0,27114089.70863556,272598.90179027984,209461904.0,2105880.1800534874,False,304.7213180765746
123,2,2,0.005,0.0100537622347474,0.0100036188960075,0.0101041570305824,0.01000000922627031,241082.0,242640.0,242867.0,17754457.127610434,178499.8353112269,209461904.0,2105880.1800534874,False,304.7213180765746
123,2,2,0.01,0.0100537622347474,0.0099537260830402,0.0101548042148351,0.0199999533874054,240888.0,242640.0,242840.0,9707669.265552172,97600.22746999179,209461904.0,2105880.1800534874,False,304.7213180765746
123,2,2,0.02,0.0100537622347474,0.0098546845838427,0.0102568613365292,0.03999994592869278,240184.0,242640.0,244758.0,11373108.88669262,114350.15457655847,209461904.0,2105880.1800534874,False,304.7213180765746
123,2,2,0.05,0.0100537622347474,0.0095634348690509,0.010569229722023,0.09999996478810216,235671.0,242640.0,248307.0,12563198.114069602,126360.04449376978,209461904.0,2105880.1800534874,False,304.7213180765746
123,2,2,0.1,0.0100537622347474,0.0090970201417803,0.011111126281321,0.20000007101997866,229026.0,242640.0,256220.0,13501771.066643668,135969.95171708465,209461904.0,2105880.1800534874,False,304.7213180765746
123,2,7,0.0025,0.0021897365804761,0.0021842690184712,0.002195217879489,0.005000076074533444,13239.0,13276.0,13313.0,6758693.88420345,14799.774822807056,3360888.75,7359.461038785812,False,78.5879668467501
123,2,7,0.005,0.0021897365804761,0.0021788151934742,0.0022007126826792,0.010000014752066905,13162.0,13276.0,13320.0,7215439.109061028,15799.976691768674,3360888.75,7359.461038785812,False,78.5879668467501
123,2,7,0.01,0.0021897365804761,0.002167948288843,0.0022117437329143,0.019999992552464124,13084.0,13276.0,13386.0,6895694.435894707,15100.00562289168,3360888.75,7359.461038785812,False,78.5879668467501
123,2,7,0.02,0.0021897365804761,0.0021463769953697,0.0022339720744639,0.039999898031152496,13056.0,13276.0,13388.0,3790167.2494977224,8300.021158589794,3360888.75,7359.461038785812,False,78.5879668467501
123,2,7,0.05,0.0021897365804761,0.002082941820845,0.0023020068183541,0.1000000407960008,12840.0,13276.0,13736.0,4090110.2877595993,8959.99634467982,3360888.75,7359.461038785812,False,78.5879668467501
123,2,7,0.1,0.0021897365804761,0.001981355715543,0.0024200333282351,0.19999999684899494,12414.0,13276.0,14121.0,3891240.288111336,8535.000134469143,3360888.75,7359.461038785812,False,78.5879668467501
123,3,1,0.0025,0.0030624063219875,0.0030547596979886,0.0030700720380991,0.005000095569056665,4618.0,4537.0,4553.0,-4244942.283866061,-12999.751525201971,2107704.5,6454.647585681523,False,61.07177611489547
123,3,1,0.005,0.0030624063219875,0.0030471323989331,0.0030777566134929,0.010000008065271038,4551.0,4537.0,4533.0,-587770.1765983615,-1799.9985482523841,2107704.5,6454.647585681523,False,61.07177611489547
123,3,1,0.01,0.0030624063219875,0.0030319348443299,0.0030931839719414,0.019999993819385605,4608.0,4537.0,4494.0,-1861250.9997382457,-5700.001761475647,2107704.5,6454.647585681523,False,61.07177611489547
123,3,1,0.02,0.0030624063219875,0.003001766745001,0.0031242710538208,0.03999996287497091,4564.0,4537.0,4640.0,620386.3417718123,1900.0017634405185,2107704.5,6454.647585681523,False,61.07177611489547
