seed,sim_len,row_index,init_id,cell,row_kind,offset_index,log_offset,epsilon,center_gain,gain,loss,analytic_gradient_gain,analytic_gradient_log_gain,firing_rate_hz,spike_count,center_Strf_alpha,center_output_ad,center_on_ron_gSYN,center_off_ron_gSYN,center_on_sonoff_gSYN,center_off_sonoff_gSYN,center_sonoff_ron_gSYN,center_abs_ref,center_rel_ref_a,center_rel_ref_b,center_rel_ref_c
1213,29801,3,0,2,minus,3,-0.01,0.01,0.0017865144181996584,0.0017687382642179728,9800.0,6023280.0,10653.605812098831,71.4405556860508,2129.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
1213,29801,3,0,7,minus,3,-0.01,0.01,0.015980957075953484,0.015821943059563637,43874.0,214738464.0,3397579.750106156,135.23036139726855,4030.0,59.11423873901367,0.004803546704351902,0.04223012551665306,0.038019679486751556,0.04160550981760025,0.04478614404797554,0.020792031660676003,4.51259708404541,8.273573875427246,6.738358020782471,0.34646177291870117
1213,29801,4,0,1,minus,4,-0.005,0.005,0.010369358584284782,0.01031764131039381,5422.0,-4377.0732421875,-45.16107170221312,36.67662158987953,1093.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
1213,29801,4,0,2,minus,4,-0.005,0.005,0.0017865144181996584,0.0017776041058823466,9884.0,6247969.5,11106.416236627672,71.5747793698198,2133.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
1213,29801,4,0,7,minus,4,-0.005,0.005,0.015980957075953484,0.015901250764727592,43987.0,224744288.0,3573715.2814281583,135.46525284386428,4037.0,59.11423873901367,0.004803546704351902,0.04223012551665306,0.038019679486751556,0.04160550981760025,0.04478614404797554,0.020792031660676003,4.51259708404541,8.273573875427246,6.738358020782471,0.34646177291870117
1213,29801,5,0,1,minus,5,-0.0025,0.0025,0.010369358584284782,0.010343467816710472,5459.0,-3432.78125,-35.506862381182145,36.77728935270628,1096.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
1213,29801,5,0,2,minus,5,-0.0025,0.0025,0.0017865144181996584,0.001782053615897894,9961.0,6346039.0,11308.981746579055,71.67544713264655,2136.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
1213,29801,5,0,7,minus,5,-0.0025,0.0025,0.015980957075953484,0.01594105362892151,43886.0,222071744.0,3540057.5805721283,135.36458508103755,4034.0,59.11423873901367,0.004803546704351902,0.04223012551665306,0.038019679486751556,0.04160550981760025,0.04478614404797554,0.020792031660676003,4.51259708404541,8.273573875427246,6.738358020782471,0.34646177291870117
1213,29801,6,0,1,center,6,0.0,0.0,0.010369358584284782,0.010369358584284782,5406.0,-5366.25439453125,-55.644616071388555,36.94506895741753,1101.0,6.626354694366455,0.0035706069320440292,0.017586013302206993,0.0440235361456871,0.036416418850421906,0.015820348635315895,0.03075505420565605,9.734742164611816,4.234930515289307,6.025596618652344,0.5770443677902222
1213,29801,6,0,2,center,6,0.0,0.0,0.0017865144181996584,0.0017865144181996584,9983.0,6414688.0,11459.93260025233,71.87678265830006,2142.0,59.34796905517578,0.003477817866951227,0.03811865672469139,0.019889790564775467,0.039781637489795685,0.045002952218055725,0.024391407147049904,3.5100626945495605,4.31492280960083,8.399785995483398,0.2598817050457001
