init_id,cell,log_offset,epsilon,center_gain,gain_mean,loss_mean,loss_ci_low,loss_ci_high,loss_sem,delta_loss_mean,delta_loss_ci_low,delta_loss_ci_high,delta_loss_sem,analytic_log_mean,analytic_log_ci_low,analytic_log_ci_high,firing_rate_mean_hz
0,7,-0.005,0.005,0.0159809570759534,0.0159012507647275,43703.625,43481.09893480875,43926.15106519125,94.1063109884621,6.375,-109.6224455922202,122.3724455922202,49.05533955937634,3600521.7427777834,3506935.7141360645,3694107.7714195023,135.35619610080195
0,7,-0.0025,0.0025,0.0159809570759534,0.0159410536289215,43664.5,43446.69494556564,43882.30505443436,92.10979473277683,-32.75,-108.77703001273893,43.27703001273893,32.151843981777645,3600521.7427777834,3506935.7141360645,3694107.7714195023,135.3520016106842
0,7,0.0,0.0,0.0159809570759534,0.0159809570759534,43697.25,43533.43514945211,43861.06485054789,69.2773282848416,0.0,0.0,0.0,0.0,3600521.7427777834,3506935.7141360645,3694107.7714195023,135.45266937351096
0,7,0.0025,0.0025,0.0159809570759534,0.0160209592431783,43726.875,43549.78090447645,43903.96909552355,74.8931232538361,29.625,-46.18790471293329,105.43790471293329,32.061290355906046,3600521.7427777834,3506935.7141360645,3694107.7714195023,135.49880876480654
0,7,0.005,0.005,0.0159809570759534,0.0160610619932413,43804.0,43651.91048465853,43956.08951534147,64.31868202274403,106.75,15.79124206504288,197.70875793495713,38.46647427120327,3600521.7427777834,3506935.7141360645,3694107.7714195023,135.54494815610212
0,7,0.01,0.01,0.0159809570759534,0.0161415692418813,43946.0,43750.367021251,44141.632978749,82.73322013729258,248.75,97.32648844300334,400.1735115569967,64.03702890850396,3600521.7427777834,3506935.7141360645,3694107.7714195023,135.71692225093116
0,7,0.02,0.02,0.0159809570759534,0.0163037944585084,44114.375,43874.14486250902,44354.60513749098,101.59336618879911,417.125,237.3549855802817,596.8950144197183,76.02476981221318,3600521.7427777834,3506935.7141360645,3694107.7714195023,135.9727861481158
0,7,0.05,0.05,0.0159809570759534,0.0168003179132938,44648.75,44391.25061218424,44906.24938781576,108.89653510164067,951.5,729.6025248624584,1173.3974751375417,93.84048014735278,3600521.7427777834,3506935.7141360645,3694107.7714195023,136.5809872151941
0,7,0.1,0.1,0.0159809570759534,0.0176616888493299,45257.25,45022.0128589822,45492.4871410178,99.48182712722674,1560.0,1389.2761876834845,1730.7238123165155,72.19912939720454,3600521.7427777834,3506935.7141360645,3694107.7714195023,137.51216402134156
1,1,-0.1,0.1,0.0065463040955364,0.0059233410283923,40231.5,39861.191397210256,40601.808602789744,156.60357138784724,-2759.125,-3119.0909721311136,-2399.1590278688864,152.22967111524986,340265.44394642673,328430.6940417601,352100.19385109335,156.06019932217038
1,1,-0.05,0.05,0.0065463040955364,0.0062270374037325,41366.375,41064.92086695167,41667.82913304833,127.48500437026198,-1624.25,-1848.9256370593996,-1399.5743629406004,95.01536529876176,340265.44394642673,328430.6940417601,352100.19385109335,158.1784168316499
1,1,-0.02,0.02,0.0065463040955364,0.0064166784286499,42308.375,42037.321472578566,42579.428527421434,114.62858305663308,-682.25,-900.0443957922041,-464.45560420779594,92.10528719118912,340265.44394642673,328430.6940417601,352100.19385109335,159.6842387839334
1,1,-0.01,0.01,0.0065463040955364,0.0064811673946678,42729.125,42477.18412722738,42981.06587277262,106.5458381402108,-261.5,-387.8462857414854,-135.15371425851458,53.4318658266234,340265.44394642673,328430.6940417601,352100.19385109335,160.17499412771383
1,1,-0.005,0.005,0.0065463040955364,0.0065136542543768,42885.75,42555.436104047694,43216.063895952306,139.6898030331082,-104.875,-174.08021761767208,-35.66978238232791,29.26689835438177,340265.44394642673,328430.6940417601,352100.19385109335,160.3805241434851
1,1,-0.0025,0.0025,0.0065463040955364,0.0065299584530293,42897.875,42608.006800631854,43187.743199368146,122.58531103742754,-92.75,-200.36336977579074,14.863369775790744,45.50971246416998,340265.44394642673,328430.6940417601,352100.19385109335,160.4937753766652
