epoch,median_scaled_RMS_step,p90_scaled_RMS_step,p95_scaled_RMS_step,median_scaled_max_step,median_SSE_parameter_step,median_CV_parameter_step,fraction_rolling_step_below_tolerance,median_rolling_diameter,rolling_symmetric_SSE_change,rolling_symmetric_CV_change
88,0.002034279,0.02012978,0.03508911,0.005865729,0.0005068862,0.001203032,0.3383333,0.01076349,0.02129565,0.114961
89,0.002429531,0.01766316,0.02817638,0.006863594,0.0008153987,0.001730539,0.3275,0.01054882,0.02420789,0.1240658
90,0.002321556,0.01674873,0.02762241,0.006337995,0.0006814178,0.00165217,0.3025,0.01076781,0.01922076,0.1319575
91,0.002592078,0.0225304,0.03185935,0.007427156,0.0006892346,0.00170072,0.3166667,0.01052928,0.02002194,0.1253877
92,0.0017506,0.02015101,0.03177779,0.005078499,0.0004601177,0.001178175,0.3283333,0.009426832,0.02049508,0.1315152
93,0.002761747,0.02459231,0.03989865,0.007815787,0.0007230848,0.00178356,0.3208333,0.01007433,0.02995271,0.1272241
94,0.003008385,0.02346923,0.03275696,0.008394909,0.0005256863,0.001855595,0.3116667,0.01032808,0.02702703,0.1289106
95,0.002072427,0.01854171,0.02820699,0.005745637,0.0004644762,0.001431074,0.3183333,0.01078445,0.02948899,0.1021128
96,0.002095129,0.01866389,0.03018177,0.00606896,0.0005504445,0.001388696,0.3316667,0.01054992,0.03171593,0.1250098
97,0.002418149,0.01930994,0.02993989,0.006640175,0.0004925414,0.001874713,0.32,0.01097369,0.02971902,0.1264965
98,0.002305151,0.01809595,0.03026389,0.006324732,0.0005349157,0.001634518,0.3275,0.01035321,0.01904159,0.1460917
99,0.002223961,0.01942131,0.03103172,0.006426591,0.0003628733,0.001568954,0.3325,0.01028114,0.01985804,0.1768484
100,0.001904899,0.01962471,0.02898925,0.005489394,0.0006125605,0.001210163,0.3458333,0.009860671,0.02100269,0.213114
